열1,열12
꾀다,꾀다
꾸다,꾸다
변통,꾸다
차용,꾸다
빌리다,꾸다
꾸짖다,꾸짖다
나무라다,꾸짖다
야단치다,꾸짖다
가책,꾸짖다
구박,꾸짖다
꾸중,꾸짖다
꾸지람,꾸짖다
책망,꾸짖다
핍박,꾸짖다
힐책,꾸짖다
꿀,꿀
꿀벌,꿀벌
꿇다,꿇다
무릎(을) 꿇다,꿇다
꿈,꿈
포부,꿈
꿈꾸다,꿈
끈,끈
줄,끈
테이프,끈
로프,끈
케이블,끈
끈기,끈기
끈덕지다,끈기
끈질기다,끈기
끈적끈적,끈적끈적
끊어지다,끊어지다
끊어지다,끊어지다
-다가,끊어지다
끓다,끓다
끓이다,끓다
데우다,끓다
때다,끓다
삶다,끓다
끝내다,끝내다
ㄴ,ㄴ
나,나
내,나
제,나
자기,나
나그네,나그네
나누기,나누기
나눗셈,나누기
제하기,나누기
나머지,나머지
남다,나머지
여분,나머지
흑자,나머지
나무,나무
수목,나무
나비,나비
나비넥타이,나비넥타이
나쁘다,나쁘다
악,나쁘다
못되다,나쁘다
악하다,나쁘다
나서다,나서다
선두,나서다
앞서다,나서다
앞장,나서다
앞장서다,나서다
나오다,나오다
나이,나이
나잇살,나이
살,나이
연령,나이
연세,나이
나이지리아,나이지리아
나중,나중
밖,나중
이후,나중
후,나중
나체,나체
알몸,나체
맨몸,나체
전라,나체
나침반,나침반
나침판,나침반
나타나다,나타나다
드러나다,나타나다
출현,나타나다
나흘,나흘
낙담,낙담
낙망,낙담
낙심,낙담
실망,낙담
절망,낙담
좌절,낙담
낙선,낙선
낙엽,낙엽
가랑잎,낙엽
낙엽이 떨어지다,낙엽
낙오,낙오
뒤지다,낙오
낙지,낙지
낙타,낙타
낙태,낙태
낙하산,낙하산
낚다,낚다
낚시,낚시
낚시질,낚시
낚시터,낚시터
난동,난동
난쟁이,난쟁이
난청,난청
난청인,난청인
난청자,난청인
난청인,난청인
난청자,난청인
난항,난항
어려워하다,난항
어렵다,난항
날,날
해,날
날다,날다
새,날다
날리다,날리다
날마다,날마다
나날,날마다
매번,날마다
매일,날마다
수시,날마다
일상,날마다
늘,날마다
매양,날마다
번번이,날마다
언제나,날마다
항상,날마다
날쌔다,날쌔다
민첩하다,날쌔다
빠르다,날쌔다
날씬하다,날씬하다
날짜,날짜
언제,날짜
날,날짜
일자,날짜
날치기,날치기
낡다,낡다
부패,낡다
묵다,낡다
썩다,낡다
